,Unnamed: 0,data_id,event_date,year,time_precision,event_type,actor1,actor1_type,actor2,actor2_type,interaction_type,region1,region2,region3,location,latitude,longitude,geo_precision,fatalities,Month,Day,Year-Month
1200,1200,1406698,2017/5/30,2017,1,Violence against civilians,Murle Ethnic Militia (South Sudan),Ethnic militia,Civilians (South Sudan),Civilians,47,Eastern Equatoria,Torit,Bur (Loronyo),Torit,4.4182,32.5767,2,0,5,30,2017-5
1202,1202,1406890,2017/5/29,2017,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Western Bahr el Ghazal,Wau,Udici,Wau,7.7177,28.0071,1,2,5,29,2017-5
1207,1207,1407260,2017/5/27,2017,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (International),Civilians,37,Central Equatoria,Terekeka,Terkeka,Khor Makwich,5.7764,31.7048,1,1,5,27,2017-5
1219,1219,1407891,2017/5/23,2017,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Unity,Mayom,Mankien,Mayom,9.22,29.17,2,0,5,23,2017-5
1224,1224,1408094,2017/5/22,2017,2,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Lakes,Rumbek Centre,Kuei,Rumbek,6.8187,29.6995,2,2,5,22,2017-5
1225,1225,1408095,2017/5/22,2017,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Western Equatoria,Yambio,Yambio,Yambio,4.5710000000000015,28.4104,1,0,5,22,2017-5
1228,1228,1408099,2017/5/22,2017,1,Violence against civilians,Murle Ethnic Militia (South Sudan),Ethnic militia,Civilians (South Sudan),Civilians,47,Jonglei,Bor South,Makuac,Bor,6.2144,31.562,2,0,5,22,2017-5
1230,1230,1408314,2017/5/21,2017,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (International),Civilians,37,Central Equatoria,Lainya,Lainya,Lainya,4.35,31.08,2,4,5,21,2017-5
1232,1232,1408316,2017/5/21,2017,3,Violence against civilians,Military Forces of South Sudan (2011-),Government or mutinous force,Civilians (South Sudan),Civilians,17,Central Equatoria,Yei,Yei,Gimunu,4.1182,30.7182,1,15,5,21,2017-5
1235,1235,1408495,2017/5/20,2017,2,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Western Bahr el Ghazal,Wau,Udici,Wau,7.7177,28.0071,1,1,5,20,2017-5
1236,1236,1408678,2017/5/19,2017,1,Violence against civilians,Bor Clan Dinka Ethnic Militia (South Sudan),Ethnic militia,Civilians (South Sudan),Civilians,47,Jonglei,Bor South,Makuac,Bor,6.2144,31.562,1,1,5,19,2017-5
1237,1237,1408675,2017/5/19,2017,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Western Equatoria,Yambio,Li-rangu,Li Rangu,4.73,28.35,1,3,5,19,2017-5
1240,1240,1408868,2017/5/18,2017,1,Violence against civilians,Military Forces of South Sudan (2011-),Government or mutinous force,Civilians (South Sudan),Civilians,17,Central Equatoria,Yei,Morobo,Payawa,3.9182,30.7291,1,6,5,18,2017-5
1241,1241,1408874,2017/5/18,2017,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Central Equatoria,Juba,Juba,Juba,4.8609,31.6178,2,0,5,18,2017-5
1246,1246,1408873,2017/5/18,2017,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Western Equatoria,Yambio,Li-rangu,Li Rangu,4.73,28.35,1,4,5,18,2017-5
1251,1251,1409254,2017/5/16,2017,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (International),Civilians,37,Eastern Equatoria,Kapoeta South,Kapoeta,Kapoeta,4.7762,33.5829,2,4,5,16,2017-5
1252,1252,1409251,2017/5/16,2017,1,Violence against civilians,Military Forces of South Sudan (2011-),Government or mutinous force,Civilians (South Sudan),Civilians,17,Central Equatoria,Kajo-Keji,Kangepo li,Karupi,3.8,31.52,1,6,5,16,2017-5
1256,1256,1409446,2017/5/15,2017,1,Violence against civilians,Military Forces of South Sudan (2011-),Government or mutinous force,Civilians (South Sudan),Civilians,17,Central Equatoria,Yei,Morobo,Payawa,3.9182,30.7291,1,4,5,15,2017-5
1257,1257,1409447,2017/5/15,2017,1,Violence against civilians,Murle Ethnic Militia (South Sudan),Ethnic militia,Civilians (South Sudan),Civilians,47,Jonglei,Bor South,Anyidi,Pariak,5.98,31.66,1,1,5,15,2017-5
1258,1258,1409448,2017/5/15,2017,1,Violence against civilians,Bor Clan Dinka Ethnic Militia (South Sudan),Ethnic militia,Civilians (South Sudan),Civilians,47,Jonglei,Pibor,Pibor,Likuangole,7.049,33.0043,2,36,5,15,2017-5
1259,1259,1409450,2017/5/15,2017,1,Violence against civilians,Bor Clan Dinka Ethnic Militia (South Sudan),Ethnic militia,Civilians (South Sudan),Civilians,47,Jonglei,Pibor,Boma,Boma,6.1797,34.4,2,0,5,15,2017-5
1263,1263,1409452,2017/5/15,2017,3,Strategic development,SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition,Rebel force,Civilians (South Sudan),Civilians,27,Upper Nile,Fashoda,Kodok,Kodok,9.8877,32.1166,2,0,5,15,2017-5
1265,1265,1409445,2017/5/15,2017,3,Strategic development,Military Forces of South Sudan (2011-),Government or mutinous force,Civilians (South Sudan),Civilians,17,Western Bahr el Ghazal,Wau,Udici,Wau,7.7177,28.0071,2,0,5,15,2017-5
1268,1268,1409913,2017/5/13,2017,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (Somalia),Civilians,37,Central Equatoria,Juba,Juba,Mangalla,5.1999,31.7722,2,3,5,13,2017-5
1270,1270,1410257,2017/5/11,2017,1,Violence against civilians,Gony Clan Militia (South Sudan),Ethnic militia,Civilians (South Sudan),Civilians,47,Lakes,Cueibet,Duony,Billing,6.93,29.23,2,1,5,11,2017-5
1272,1272,1410467,2017/5/10,2017,1,Violence against civilians,Thuyic Ethnic Militia (South Sudan),Ethnic militia,Civilians (South Sudan),Civilians,47,Lakes,Rumbek Centre,Kuei,Rumbek,6.8187,29.6995,2,2,5,10,2017-5
1273,1273,1410469,2017/5/10,2017,2,Violence against civilians,Unidentified Communal Militia (South Sudan),Ethnic militia,Civilians (South Sudan),Civilians,47,Jonglei,Bor South,Anyidi,Anyidi,6.1818,31.8227,1,2,5,10,2017-5
1275,1275,1410466,2017/5/10,2017,2,Violence against civilians,Military Forces of South Sudan (2011-),Government or mutinous force,Civilians (South Sudan),Civilians,17,Central Equatoria,Kajo-Keji,Lire,Mogiri,3.939,31.601,1,5,5,10,2017-5
1289,1289,1411184,2017/5/6,2017,1,Violence against civilians,Murle Ethnic Militia (South Sudan),Ethnic militia,Civilians (South Sudan),Civilians,47,Jonglei,Bor South,Makuac,Bor,6.2144,31.562,2,0,5,6,2017-5
1293,1293,1411337,2017/5/5,2017,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Central Equatoria,Terekeka,Terkeka,Gemmaiza,5.6803,31.8,2,27,5,5,2017-5
1296,1296,1411523,2017/5/4,2017,1,Violence against civilians,Military Forces of South Sudan (2011-),Government or mutinous force,Civilians (South Sudan),Civilians,17,Central Equatoria,Yei,Yei,Yei,4.0899,30.6716,2,1,5,4,2017-5
1298,1298,1411681,2017/5/3,2017,2,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Eastern Equatoria,Torit,Bur (Loronyo),Torit,4.4182,32.5767,1,2,5,3,2017-5
1301,1301,1411682,2017/5/3,2017,1,Violence against civilians,Military Forces of South Sudan (2011-),Government or mutinous force,Civilians (South Sudan),Civilians,17,Central Equatoria,Yei,Yei,Yei,4.0899,30.6716,2,4,5,3,2017-5
1305,1305,1411873,2017/5/2,2017,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (International),Civilians,37,Lakes,Wulu,Balei,Wullu,6.51,29.62,2,0,5,2,2017-5
1307,1307,1411875,2017/5/2,2017,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Western Equatoria,Mvolo,Mvolo,Mvolo,6.0581,29.9367,2,2,5,2,2017-5
1310,1310,1412070,2017/5/1,2017,1,Violence against civilians,Dinka Ethnic Militia (South Sudan),Ethnic militia,Civilians (South Sudan),Civilians,47,Jonglei,Pibor,Gumuruk,Manyabol,6.5811,32.7448,2,10,5,1,2017-5
1314,1314,1412274,2017/4/30,2017,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Western Bahr el Ghazal,Wau,Udici,Wau,7.7177,28.0071,1,1,4,30,2017-4
1315,1315,1412275,2017/4/30,2017,2,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Upper Nile,Fashoda,Oriny,Lul,9.77,31.94,2,1,4,30,2017-4
1316,1316,1412276,2017/4/30,2017,1,Violence against civilians,Dinka Ethnic Militia (South Sudan),Ethnic militia,Civilians (South Sudan),Civilians,47,Jonglei,Pibor,Boma,Boma,6.1797,34.4,2,10,4,30,2017-4
1318,1318,1412443,2017/4/29,2017,1,Violence against civilians,Dinka Ethnic Militia (South Sudan),Ethnic militia,Civilians (South Sudan),Civilians,47,Jonglei,Pibor,Boma,Boma,6.1797,34.4,2,10,4,29,2017-4
1321,1321,1412633,2017/4/28,2017,1,Violence against civilians,Dinka Ethnic Militia (South Sudan),Ethnic militia,Civilians (South Sudan),Civilians,47,Jonglei,Pibor,Boma,Boma,6.1797,34.4,2,10,4,28,2017-4
1322,1322,1412634,2017/4/28,2017,1,Violence against civilians,Military Forces of South Sudan (2011-),Government or mutinous force,Civilians (International),Civilians,17,Unity,Rubkona,Rubkoana,Bentiu,9.2525,29.7883,2,7,4,28,2017-4
1324,1324,1412828,2017/4/27,2017,2,Violence against civilians,White Army (South Sudan),Ethnic militia,Civilians (South Sudan),Civilians,47,Upper Nile,Fashoda,Oriny,Nyigir,9.8278,31.9844,1,1,4,27,2017-4
1325,1325,1412827,2017/4/27,2017,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Unity,Leer,Koch,Leer,8.2936,30.1326,2,3,4,27,2017-4
1332,1332,1413060,2017/4/26,2017,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Northern Bahr el Ghazal,Aweil North,,Majakbaai,9.1538,26.8307,1,0,4,26,2017-4
1340,1340,1413292,2017/4/25,2017,2,Violence against civilians,Military Forces of South Sudan (2011-),Government or mutinous force,Civilians (South Sudan),Civilians,17,Upper Nile,Fashoda,Oriny,Lul,9.77,31.94,2,2,4,25,2017-4
1344,1344,1413294,2017/4/25,2017,1,Violence against civilians,Military Forces of South Sudan (2011-),Government or mutinous force,Civilians (South Sudan),Civilians,17,Upper Nile,Fashoda,Kodok,Kodok,9.8877,32.1166,1,1,4,25,2017-4
1347,1347,1413531,2017/4/24,2017,1,Violence against civilians,Lou Nuer Ethnic Militia (South Sudan),Ethnic militia,Civilians (South Sudan),Civilians,47,Jonglei,Pibor,Pibor,Likuangole,7.049,33.0043,1,10,4,24,2017-4
1350,1350,1413725,2017/4/23,2017,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Central Equatoria,Yei,Yei,Yei,4.0899,30.6716,1,0,4,23,2017-4
1353,1353,1413940,2017/4/22,2017,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Central Equatoria,Juba,Juba,Juba,4.8609,31.6178,2,0,4,22,2017-4
1354,1354,1414160,2017/4/21,2017,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Central Equatoria,Yei,Yei,Yei,4.0899,30.6716,1,0,4,21,2017-4
1356,1356,1414161,2017/4/21,2017,2,Violence against civilians,Military Forces of South Sudan (2011-),Government or mutinous force,Civilians (South Sudan),Civilians,17,Eastern Equatoria,Budi,Ngarich,Loryok,4.57,33.34,1,1,4,21,2017-4
1359,1359,1414550,2017/4/19,2017,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Eastern Equatoria,Torit,Bur (Loronyo),Nesitu,4.5607,32.4972,2,3,4,19,2017-4
1361,1361,1414781,2017/4/18,2017,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Warrap,Tonj South,Tonj,Tonj,7.2733,28.6839,2,1,4,18,2017-4
1363,1363,1414782,2017/4/18,2017,2,Violence against civilians,SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition,Rebel force,Civilians (South Sudan),Civilians,27,Jonglei,Pibor,Pibor,Likuangole,7.049,33.0043,1,7,4,18,2017-4
1364,1364,1414783,2017/4/18,2017,2,Violence against civilians,SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition,Rebel force,Civilians (South Sudan),Civilians,27,Jonglei,Twic East,Kongor,Kongor,7.1551,31.3545,1,6,4,18,2017-4
1365,1365,1414784,2017/4/18,2017,2,Violence against civilians,SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition,Rebel force,Civilians (South Sudan),Civilians,27,Jonglei,Akobo,Akobo,Akobo,7.779,33.0023,2,6,4,18,2017-4
1366,1366,1414981,2017/4/17,2017,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Warrap,Tonj South,Thiet,Thiet,7.6067,28.8209,1,1,4,17,2017-4
1368,1368,1414979,2017/4/17,2017,2,Violence against civilians,SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition,Rebel force,Civilians (South Sudan),Civilians,27,Jonglei,Twic East,Kongor,Kongor,7.1551,31.3545,1,6,4,17,2017-4
1370,1370,1414982,2017/4/17,2017,2,Violence against civilians,SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition,Rebel force,Civilians (South Sudan),Civilians,27,Jonglei,Pibor,Pibor,Likuangole,7.049,33.0043,1,6,4,17,2017-4
1371,1371,1414984,2017/4/17,2017,2,Violence against civilians,SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition,Rebel force,Civilians (South Sudan),Civilians,27,Jonglei,Akobo,Akobo,Akobo,7.779,33.0023,2,6,4,17,2017-4
1372,1372,1415213,2017/4/16,2017,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Central Equatoria,Juba,Juba,Juba,4.8609,31.6178,1,1,4,16,2017-4
1377,1377,1415212,2017/4/16,2017,2,Violence against civilians,SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition,Rebel force,Civilians (South Sudan),Civilians,27,Jonglei,Pibor,Pibor,Likuangole,7.049,33.0043,1,6,4,16,2017-4
1378,1378,1415214,2017/4/16,2017,2,Violence against civilians,SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition,Rebel force,Civilians (South Sudan),Civilians,27,Jonglei,Twic East,Kongor,Kongor,7.1551,31.3545,1,6,4,16,2017-4
1379,1379,1415217,2017/4/16,2017,2,Violence against civilians,SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition,Rebel force,Civilians (South Sudan),Civilians,27,Jonglei,Akobo,Akobo,Akobo,7.779,33.0023,2,6,4,16,2017-4
1381,1381,1415404,2017/4/15,2017,3,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Lakes,Rumbek Centre,Kuei,Rumbek,6.8187,29.6995,2,7,4,15,2017-4
1382,1382,1415405,2017/4/15,2017,1,Violence against civilians,Military Forces of South Sudan (2011-),Government or mutinous force,Civilians (South Sudan),Civilians,17,Central Equatoria,Yei,Morobo,Monga,3.91,30.61,2,1,4,15,2017-4
1383,1383,1587776,2017/4/15,2017,3,Violence against civilians,Military Forces of South Sudan (2011-),Government or mutinous force,Civilians (South Sudan),Civilians,17,Central Equatoria,Kajo-Keji,Kangepo l,Kajo-Keji,3.8848,31.6667,2,10,4,15,2017-4
1384,1384,1415400,2017/4/15,2017,2,Violence against civilians,Military Forces of South Sudan (2011-),Government or mutinous force,Civilians (South Sudan),Civilians,17,Jonglei,Nyirol,Waat,Waat,8.1972,32.15,1,13,4,15,2017-4
1390,1390,1415409,2017/4/15,2017,1,Violence against civilians,Military Forces of South Sudan (2011-),Government or mutinous force,Civilians (South Sudan),Civilians,17,Central Equatoria,Yei,Morobo,Kabengere,3.87,30.64,1,3,4,15,2017-4
1392,1392,1415572,2017/4/14,2017,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Unity,Abiemnhom,Mankien,Abiemnom,9.34,28.91,1,1,4,14,2017-4
1397,1397,1415719,2017/4/13,2017,1,Violence against civilians,Murle Ethnic Militia (South Sudan),Ethnic militia,Civilians (South Sudan),Civilians,47,Jonglei,Twic East,Kongor,Kongor,7.1551,31.3545,1,2,4,13,2017-4
1400,1400,1415722,2017/4/13,2017,1,Violence against civilians,Murle Ethnic Militia (South Sudan),Ethnic militia,Civilians (South Sudan),Civilians,47,Jonglei,Bor South,Jalle,Padak/baidit,6.4434,31.5451,1,2,4,13,2017-4
1406,1406,1415868,2017/4/12,2017,1,Violence against civilians,Military Forces of South Sudan (2011-),Government or mutinous force,Civilians (South Sudan),Civilians,17,Jonglei,Uror,Pieri,Yuai,7.901,31.8883,2,17,4,12,2017-4
1408,1408,1415871,2017/4/12,2017,1,Violence against civilians,Murle Ethnic Militia (South Sudan),Ethnic militia,Civilians (South Sudan),Civilians,47,Jonglei,Bor South,Jalle,Padak/baidit,6.4434,31.5451,1,3,4,12,2017-4
1409,1409,1415872,2017/4/12,2017,1,Violence against civilians,Police Forces of South Sudan (2011-),Government or mutinous force,Civilians (South Sudan),Civilians,17,Western Equatoria,Maridi,Maridi,Maridi,4.9238,29.4626,1,1,4,12,2017-4
1410,1410,1415875,2017/4/12,2017,1,Violence against civilians,Murle Ethnic Militia (South Sudan),Ethnic militia,Civilians (South Sudan),Civilians,47,Jonglei,Twic East,Kongor,Kongor,7.1551,31.3545,1,3,4,12,2017-4
1411,1411,1416042,2017/4/11,2017,2,Violence against civilians,Wau Communal Militia (South Sudan),Ethnic militia,Civilians (South Sudan),Civilians,47,Western Bahr el Ghazal,Wau,Bazia,Mapel,7.2998,27.7073,1,1,4,11,2017-4
1413,1413,1416044,2017/4/11,2017,2,Violence against civilians,Wau Communal Militia (South Sudan),Ethnic militia,Civilians (South Sudan),Civilians,47,Western Bahr el Ghazal,Jur River,Kuajiena,Alur,7.3185,28.447,1,1,4,11,2017-4
1416,1416,1416258,2017/4/10,2017,1,Violence against civilians,Military Forces of South Sudan (2011-),Government or mutinous force,Civilians (South Sudan),Civilians,17,Western Bahr el Ghazal,Wau,Udici,Wau,7.7177,28.0071,1,24,4,10,2017-4
1418,1418,1416272,2017/4/10,2017,1,Violence against civilians,Lou Nuer Ethnic Militia (South Sudan),Ethnic militia,Civilians (South Sudan),Civilians,47,Jonglei,Pibor,Pibor,Likuangole,7.049,33.0043,1,42,4,10,2017-4
1419,1419,1416274,2017/4/10,2017,3,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Northern Bahr el Ghazal,Aweil West,Mariam,Aweil,8.7863,27.4015,2,1,4,10,2017-4
1420,1420,1416269,2017/4/10,2017,2,Violence against civilians,Military Forces of South Sudan (2011-),Government or mutinous force,Civilians (South Sudan),Civilians,17,Jonglei,Pibor,Pibor,Pibor,6.7943,33.1297,2,10,4,10,2017-4
1421,1421,1416270,2017/4/10,2017,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (Uganda),Civilians,37,Eastern Equatoria,Magwi,Pageri,Pajok,3.8738,32.4713,2,1,4,10,2017-4
1425,1425,1416496,2017/4/9,2017,2,Violence against civilians,Murle Ethnic Militia (South Sudan),Ethnic militia,Civilians (South Sudan),Civilians,47,Jonglei,Pibor,Pibor,Likuangole,7.049,33.0043,2,2,4,9,2017-4
1428,1428,1416494,2017/4/9,2017,1,Violence against civilians,SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition,Rebel force,Civilians (South Sudan),Civilians,27,Lakes,Yirol West,Ngop,Ngop,6.2667,30.2,2,24,4,9,2017-4
1429,1429,1416495,2017/4/9,2017,1,Violence against civilians,Lou Nuer Ethnic Militia (South Sudan),Ethnic militia,Civilians (South Sudan),Civilians,47,Jonglei,Pibor,Pibor,Likuangole,7.049,33.0043,2,37,4,9,2017-4
1433,1433,1416665,2017/4/8,2017,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Central Equatoria,Juba,Juba,Lokiliri,4.5455,31.9682,2,0,4,8,2017-4
1434,1434,1416908,2017/4/7,2017,1,Violence against civilians,Rup Clan Dinka Ethnic Militia (South Sudan),Ethnic militia,Civilians (South Sudan),Civilians,47,Lakes,Rumbek East,Alamtoch East,Gook Akon,6.5,29.77,1,5,4,7,2017-4
1439,1439,1417083,2017/4/6,2017,2,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Central Equatoria,Juba,Juba,Juba,4.8609,31.6178,3,2,4,6,2017-4
1440,1440,1417319,2017/4/5,2017,2,Violence against civilians,Lakes Communal Militia (South Sudan),Ethnic militia,Civilians (South Sudan),Civilians,47,Lakes,Yirol West,Abang,Yirol,6.5545,30.4999,2,16,4,5,2017-4
1442,1442,1417306,2017/4/5,2017,1,Violence against civilians,Military Forces of South Sudan (2011-),Government or mutinous force,Civilians (South Sudan),Civilians,17,Eastern Equatoria,Magwi,Pageri,Pajok,3.8738,32.4713,1,7,4,5,2017-4
1443,1443,1417324,2017/4/5,2017,1,Violence against civilians,Murle Ethnic Militia (South Sudan),Ethnic militia,Civilians (South Sudan),Civilians,47,Jonglei,Pochalla,Pochalla,Adonga,7.15,33.8833,2,1,4,5,2017-4
1445,1445,1417322,2017/4/5,2017,2,Violence against civilians,Military Forces of South Sudan (2011-),Government or mutinous force,Civilians (South Sudan),Civilians,17,Central Equatoria,Yei,Yei,Yei,4.0899,30.6716,2,5,4,5,2017-4
1446,1446,1417323,2017/4/5,2017,2,Violence against civilians,Military Forces of South Sudan (2011-),Government or mutinous force,Civilians (South Sudan),Civilians,17,Central Equatoria,Lainya,Lainya,Lainya,4.35,31.08,1,0,4,5,2017-4
1447,1447,1417498,2017/4/4,2017,1,Violence against civilians,Murle Ethnic Militia (South Sudan),Ethnic militia,Civilians (South Sudan),Civilians,47,Jonglei,Pochalla,Pochalla,Pochalla,7.1783,34.0967,2,3,4,4,2017-4
1448,1448,1417487,2017/4/4,2017,1,Violence against civilians,Military Forces of South Sudan (2011-),Government or mutinous force,Civilians (South Sudan),Civilians,17,Eastern Equatoria,Magwi,Pageri,Pajok,3.8738,32.4713,1,7,4,4,2017-4
1449,1449,1417499,2017/4/4,2017,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Central Equatoria,Terekeka,Terkeka,Gemmaiza,5.6803,31.8,1,0,4,4,2017-4
1450,1450,1417693,2017/4/3,2017,1,Violence against civilians,Police Forces of South Sudan (2011-) National Security Service,Government or mutinous force,Civilians (International),Civilians,17,Upper Nile,Melut,Renk,Melut,10.4495,32.2085,1,0,4,3,2017-4
1451,1451,1417699,2017/4/3,2017,1,Violence against civilians,Military Forces of South Sudan (2011-),Government or mutinous force,Civilians (South Sudan),Civilians,17,Western Bahr el Ghazal,Wau,Bazia,Mapel,7.2998,27.7073,1,6,4,3,2017-4
1452,1452,1417698,2017/4/3,2017,1,Violence against civilians,Military Forces of South Sudan (2011-),Government or mutinous force,Civilians (South Sudan),Civilians,17,Eastern Equatoria,Magwi,Pageri,Pajok,3.8738,32.4713,1,8,4,3,2017-4
1456,1456,1417696,2017/4/3,2017,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Jonglei,Bor South,Makuac,Bor,6.2144,31.562,3,0,4,3,2017-4
1457,1457,1417925,2017/4/2,2017,1,Violence against civilians,Police Forces of South Sudan (2011-) National Security Service,Government or mutinous force,Civilians (South Sudan),Civilians,17,Western Bahr el Ghazal,Wau,Udici,Wau,7.7177,28.0071,1,0,4,2,2017-4
1458,1458,1418118,2017/4/1,2017,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Western Bahr el Ghazal,Wau,Udici,Wau,7.7177,28.0071,2,2,4,1,2017-4
1459,1459,1418119,2017/4/1,2017,2,Violence against civilians,Military Forces of South Sudan (2011-),Government or mutinous force,Civilians (South Sudan),Civilians,17,Upper Nile,Malakal,Obwa,Malakal,9.5409,31.6521,1,0,4,1,2017-4
1460,1460,1418117,2017/4/1,2017,1,Violence against civilians,Military Forces of South Sudan (2011-),Government or mutinous force,Civilians (South Sudan),Civilians,17,Western Bahr el Ghazal,Wau,Udici,Wau,7.7177,28.0071,1,1,4,1,2017-4
1462,1462,1418280,2017/3/31,2017,1,Violence against civilians,SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition,Rebel force,Civilians (International),Civilians,27,Upper Nile,Fashoda,Aburoc,Aburoc,10.1333,32.0833,1,0,3,31,2017-3
1463,1463,1418439,2017/3/30,2017,2,Violence against civilians,White Army (South Sudan),Ethnic militia,Civilians (South Sudan),Civilians,47,Upper Nile,Fashoda,Oriny,Lul,9.77,31.94,2,1,3,30,2017-3
1464,1464,1418440,2017/3/30,2017,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Central Equatoria,Yei,Yei,Yei,4.0899,30.6716,1,1,3,30,2017-3
1465,1465,1418441,2017/3/30,2017,2,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Western Bahr el Ghazal,Wau,Udici,Wau,7.7177,28.0071,2,2,3,30,2017-3
1474,1474,1419181,2017/3/26,2017,1,Violence against civilians,Dinka Ethnic Militia (South Sudan),Ethnic militia,Civilians (South Sudan),Civilians,47,Western Bahr el Ghazal,Wau,Bazia,Mapel,7.2998,27.7073,2,1,3,26,2017-3
1475,1475,1419182,2017/3/26,2017,1,Violence against civilians,Lou Nuer Ethnic Militia (South Sudan),Ethnic militia,Civilians (South Sudan),Civilians,47,Western Bahr el Ghazal,Wau,Bazia,Mapel,7.2998,27.7073,2,5,3,26,2017-3
1476,1476,1419183,2017/3/26,2017,1,Violence against civilians,Murle Ethnic Militia (South Sudan),Ethnic militia,Civilians (South Sudan),Civilians,47,Jonglei,Twic East,Paliau,Maar,6.88,31.39,1,1,3,26,2017-3
1479,1479,1419346,2017/3/25,2017,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (International),Civilians,37,Central Equatoria,Juba,Juba,Mangalla,5.1999,31.7722,2,7,3,25,2017-3
1481,1481,1587775,2017/3/24,2017,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Western Equatoria,Mundri East,Kediba,Lui,5.3329,30.4581,2,1,3,24,2017-3
