,data_id,year,time_precision,event_type,actor1,assoc_actor_1,actor1_type,actor2,assoc_actor_2,actor2_type,interaction_type,region1,region2,region3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,Month,Day,Coordinates
969,1393469,2017,1,Violence against civilians,Unidentified Armed Group (South Sudan),,Political militia,Civilians (South Sudan),,Civilians,37,Eastern Equatoria,Torit,Bur (Loronyo),Torit,4.4182,32.5767,1,Radio Emmanuel,Subnational,Unidentified gunmen killed three civilians in Torit town in unclear circumstances.,3,8,8,"(32.5767, 4.4182)"
970,1393470,2017,2,Violence against civilians,Unidentified Armed Group (South Sudan),,Political militia,Civilians (South Sudan),,Civilians,37,Western Equatoria,Maridi,Maridi,Maridi,4.9238,29.4626,2,Radio Anisa,Subnational,Unidentified gunmen shot dead two pastoralists on the Maridi-Mvolo road while they were taking their cattle to Maridi State. Date unclear - report dated 8 August.,2,8,8,"(29.4626, 4.9238)"
972,1393689,2017,1,Violence against civilians,Unidentified Armed Group (South Sudan),,Political militia,Civilians (South Sudan),Military Forces of South Sudan (2011-),Civilians,37,Central Equatoria,Juba,Juba,Juba,4.8609,31.6178,1,Radio Tamazuj,Subnational,Unidentified gunmen killed an SPLA officer after breaking into his house at Khor Williang residential area of Juba. Risisng cases of nightime shootings by criminals and people wearing uniforms have been reported in Juba.,1,8,7,"(31.6178, 4.8609)"
987,1394667,2017,1,Violence against civilians,Unidentified Communal Militia (South Sudan),,Ethnic militia,Civilians (South Sudan),,Civilians,47,Lakes,Rumbek East,Alamtoch East,Gok,6.59,29.88,2,Gurtong,Subnational,"Armed youth in Gok state beat an Alel primary school caretaker and forced her to open the school's store, looting food donations from a German NGO.",0,8,2,"(29.88, 6.59)"
989,1394844,2017,1,Violence against civilians,Unidentified Armed Group (South Sudan),,Political militia,Civilians (South Sudan),,Civilians,37,Lakes,Cueibet,Ngap,Werakot,6.96,29.18,2,Gurtong,Subnational,"Unknown gunmen killed a spiritual leader in Agangrial town, Ngap County in Lakes state over unclear reasons. In a separate incident in the town, two women were stabbed and injured by gunmen.",1,8,1,"(29.18, 6.96)"
990,1394843,2017,1,Violence against civilians,Military Forces of South Sudan (2011-),,Government or mutinous force,Civilians (South Sudan),,Civilians,17,Central Equatoria,Yei,Yei,Yei,4.0899,30.6716,1,CTSAMM,Other,"On 1 August 3 armed soldiers in SPLA-IG uniform broke into a house in Yerdan in Yei, beat the owner and stole goods and 9,000 SSP.",0,8,1,"(30.6716, 4.0899)"
995,1395432,2017,1,Violence against civilians,Unidentified Communal Militia (South Sudan),,Ethnic militia,Civilians (South Sudan),,Civilians,47,Lakes,Cueibet,Ngap,Werakot,6.96,29.18,2,Gurtong,Subnational,"Four people were killed in Agangrial town, Ngap County in Lakes state in the context of fighting betwen the Waat, Pagok and Ayiel communities. Circumstances of this incident are unclear.",4,7,29,"(29.18, 6.96)"
996,1395433,2017,1,Violence against civilians,Unidentified Armed Group (South Sudan),,Political militia,Civilians (South Sudan),,Civilians,37,Warrap,Tonj South,Tonj,Tonj,7.2733,28.6839,3,Radio Don Bosco,Subnational,The body of a woman was found at Abui Village in Tonj State. She died four days prior in unclear circumstances.,1,7,29,"(28.6839, 7.2733)"
1004,1395629,2017,1,Violence against civilians,Leich Communal Militia (South Sudan),,Ethnic militia,Civilians (South Sudan),,Civilians,47,Warrap,Twic,Ajakkuac,Ajakuac,9.232000000000001,28.589000000000002,2,Radio Tamazuj,Subnational,At least four people were killed and three others wounded when suspected cattle raiders from neighbouring Northern Liech state attacked Majok Noon payam in Twic State.,4,7,28,"(28.589000000000002, 9.232000000000001)"
1010,1876522,2017,1,Violence against civilians,Military Forces of South Sudan (2011-),,Government or mutinous force,Civilians (South Sudan),Protestant Christian Group (South Sudan),Civilians,17,Central Equatoria,Yei,Yei,Yei,4.0899,30.6716,1,CTSAMM,Other,"On the night of 26/27 July 2017 a group of 5-10 armed men, some wearing SPLA-IG uniforms and all clearly soldiers attacked and looted 6 houses by the Episcopal Church Mission in Yei. Three of the houses belonged to pastors. The occupants of the houses were all severely beaten women as well as men, including the pastors.",0,7,26,"(30.6716, 4.0899)"
1011,1396025,2017,1,Violence against civilians,Unidentified Armed Group (South Sudan),,Political militia,Civilians (South Sudan),,Civilians,37,Central Equatoria,Juba,Juba,Juba,4.8609,31.6178,1,Radio Tamazuj,Subnational,"Unknown gunmen hijacked a religious leader and his vehicle in Juba. Police pursued the assaillants and exchanged fire with them, forcing them to leave the vehicle and flee, releasing the religious leader.",0,7,26,"(31.6178, 4.8609)"
1016,1396208,2017,2,Violence against civilians,Boma Communal Militia (South Sudan),,Ethnic militia,Civilians (South Sudan),,Civilians,47,Jonglei,Bor South,Makuac,Bor,6.2144,31.561999999999998,3,Radio Tamazuj,Subnational,Boma youth recently abducted children and stole cattle in Bor North county in Jonglei. Date unclear. Report dated 25 July.,0,7,25,"(31.561999999999998, 6.2144)"
1018,1396207,2017,2,Violence against civilians,Military Forces of South Sudan (2011-),,Government or mutinous force,Civilians (South Sudan),,Civilians,17,Upper Nile,Maiwut,Maiwut,Maiwut,8.6031,33.9226,2,Sudan Tribune,Regional,"SPLA-IO faction led by Machar accused government forces of killing at least 30 civilians, injuring many people, and burning down 130 huts and makeshift houses on the side of fighting around their positions in Maiwut, Upper Nile, end July",30,7,25,"(33.9226, 8.6031)"
1019,1396390,2017,1,Violence against civilians,Military Forces of South Sudan (2011-),,Government or mutinous force,Civilians (South Sudan),,Civilians,17,Central Equatoria,Yei,Yei,Yei,4.0899,30.6716,1,CTSAMM,Other,"On 24 July armed soldiers in SPLA-IG uniforms broke into the house of a cassava seller in Yei, beat up a girl and her father and stole about 15000 SSP. Both people required hospital treatment after the attack which was reported to the police.",0,7,24,"(30.6716, 4.0899)"
1020,1396391,2017,2,Violence against civilians,Unidentified Armed Group (South Sudan),,Political militia,Civilians (South Sudan),Police Forces of South Sudan (2011-),Civilians,37,Western Equatoria,Yambio,Yambio,Yambio,4.571000000000001,28.4104,1,Radio Anisa,Subnational,"Unknown gunmen killed two people, including a policeman at his home, and injured another in Yambio town in separate night time robbery and targeted greed incidents around 24 July. No arrests were made, raising concerns among the community.",2,7,24,"(28.4104, 4.571000000000001)"
1023,1396582,2017,1,Violence against civilians,Military Forces of South Sudan (2011-),,Government or mutinous force,Civilians (South Sudan),,Civilians,17,Central Equatoria,Yei,Yei,Yei,4.0899,30.6716,1,CTSAMM,Other,On 23 July SPLA-IG forcibly stole mobile telephones from young children in Yei and beat a boda-boda driver and stole of his motorcycle. The boda-boda driver was seriously hurt and admitted to hospital.,0,7,23,"(30.6716, 4.0899)"
1036,1397505,2017,1,Violence against civilians,Unidentified Armed Group (South Sudan),,Political militia,Civilians (South Sudan),,Civilians,37,Western Equatoria,Maridi,Maridi,Maridi,4.9238,29.4626,1,Radio Tamazuj,Subnational,A man was killed and his brother injured after an attack by unknown gunmen wearing military uniforms at their home in Maridi town on the morning of 19/07.,1,7,19,"(29.4626, 4.9238)"
1041,1397909,2017,1,Violence against civilians,Murle Ethnic Militia (South Sudan),,Ethnic militia,Civilians (South Sudan),,Civilians,47,Jonglei,Pibor,Boma,Boma,6.1797,34.4,2,Radio Tamazuj,Subnational,"At least six people were killed, one injured and a child abducted when a group of eight travellers walking from Pibor to Pochalla were ambushed by suspected armed Murle tribesmen near Ashawa village in Boma State.",6,7,17,"(34.4, 6.1797)"
1048,1398297,2017,3,Violence against civilians,Military Forces of South Sudan (2011-),Mathiang Anyoor; SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition,Government or mutinous force,Civilians (South Sudan),,Civilians,17,Central Equatoria,Yei,Yei,Yei,4.0899,30.6716,2,CTSAMM; UNHRCSS,Other,"Report of at least 20 cases of rape committed against women by members of the SPLA, Mathiang Anyoor militia or SPLA-IO led by Machar in the Yei area in July. This is believed to represent only a fraction of actual cases. The UNHRCSS pointed to similar patterns.",0,7,15,"(30.6716, 4.0899)"
1050,1398308,2017,3,Violence against civilians,Military Forces of South Sudan (2011-),,Government or mutinous force,Civilians (South Sudan),Aid Workers (South Sudan),Civilians,17,Central Equatoria,Juba,Juba,Juba,4.8609,31.6178,1,Insecurity Insight,Other,A contracted aid driver was physically assaulted by security forces at a checkpoint in Juba in July and ordered to pay a fine.,0,7,15,"(31.6178, 4.8609)"
1051,1398309,2017,3,Violence against civilians,Unidentified Armed Group (South Sudan),,Political militia,Civilians (South Sudan),,Civilians,37,Eastern Equatoria,Torit,Imotong,Imatong,4.1739,32.7531,2,Radio Tamazuj,Subnational,"Report of continuous abductions of children by unidentified armed men in the western part of Imatong state, including in Lowoi. Precise dates and numbers unclear. Report dated 27 July.",0,7,15,"(32.7531, 4.1739)"
1052,1398310,2017,1,Violence against civilians,Murle Ethnic Militia (South Sudan),,Ethnic militia,Civilians (South Sudan),,Civilians,47,Jonglei,Bor South,Makuac,Bor,6.2144,31.561999999999998,2,Radio Tamazuj; UNSC,Other-subnational,"Murle militia attack Kolmarek village in Jonglei's Bor North County. The attack was believed to be motivated by cattle. The UN and Catholic Radio Network report at least 31 dead, 20 injured, several children abducted and reportedly 7,000 cattle stolen. The violence produced significant levels of destruction, including the burning of several homes.",31,7,15,"(31.561999999999998, 6.2144)"
1053,1398305,2017,3,Violence against civilians,Military Forces of South Sudan (2011-),,Government or mutinous force,Civilians (South Sudan),,Civilians,17,Central Equatoria,Yei,Yei,Yei,4.0899,30.6716,2,OCHA,Other,"In July, government forces allegedly attacked a civilian settlement on the outskirts of Yei town, leaving many dead.",10,7,15,"(30.6716, 4.0899)"
1056,1398471,2017,2,Violence against civilians,Military Forces of South Sudan (2011-),,Government or mutinous force,Civilians (South Sudan),,Civilians,17,Upper Nile,Melut,,Khor Adar,10.3833,32.25,2,Sudan Tribune,Regional,"SPLA-IO accused government soldiers of attacking civilians in Eastern Adar State, Greater Upper Nile, in the context of wider clashes between the government and the rebels in the region.",0,7,14,"(32.25, 10.3833)"
1061,1398981,2017,1,Violence against civilians,Unidentified Armed Group (South Sudan),,Political militia,Civilians (South Sudan),,Civilians,37,Western Bahr el Ghazal,Wau,Udici,Wau,7.7177,28.0071,1,Radio Voice of Hope,Subnational,Unknown gunmen killed a citizen of Lokloko area of Wau town. The motives are unclear.,1,7,11,"(28.0071, 7.7177)"
1062,1398982,2017,1,Violence against civilians,Lakes Communal Militia (South Sudan),,Ethnic militia,Civilians (South Sudan),,Civilians,47,Lakes,Yirol East,Lou,Pagarau,6.7333,30.4116,1,Sudan Tribune; Eye Radio,Subnational-regional,"Suspected armed youth from Western Lakes state attacked the Dhiaudiet cattle camp in Pagara village of Yirol North, Eastern Lakes state, leaving over 20 people killed and thousands of cattle stolen.",20,7,11,"(30.4116, 6.7333)"
1063,1399144,2017,1,Violence against civilians,Murle Ethnic Militia (South Sudan),,Ethnic militia,Civilians (South Sudan),,Civilians,47,Jonglei,Duk,Duk Payuel,Duk Payuel,7.5082,31.4871,2,Radio Tamazuj,Subnational,Suspected Murle gunmen ambushed and abducted five people between Duk Payuel and Poktap in Duk Payuel County in Jonglei State.,0,7,10,"(31.4871, 7.5082)"
1067,1399342,2017,1,Violence against civilians,Unidentified Armed Group (South Sudan),,Political militia,Civilians (South Sudan),Civilians (Democratic Republic of Congo),Civilians,37,Jonglei,Bor South,Makuac,Bor,6.2144,31.561999999999998,2,Radio Tamazuj,Subnational,"At least two people were killed and four others wounded in an attack by unknown gunmen along the Juba-Bor road, between Malith-thoor and Sudan-Safari. The victims include a Congolese national and a South Sudanese.",2,7,9,"(31.561999999999998, 6.2144)"
1071,1399653,2017,1,Violence against civilians,Unidentified Armed Group (South Sudan),,Political militia,Civilians (South Sudan),UNICEF: United Nations Childrens Fund,Civilians,37,Upper Nile,Maiwut,Maiwut,Pagak,8.4907,34.0233,1,Sudan Tribune; Radio Tamazuj; UNHRCSS,Other-subnational-regional,"Unknown gunmen abducted three UNICEF South Sudanese subcontractors in Pagak, the headquarters of the SPLA-IO, as they fled Mathiang amid clashes. As of January 2018, they had not yet been released.",0,7,7,"(34.0233, 8.4907)"
1077,1400053,2017,1,Violence against civilians,Murle Ethnic Militia (South Sudan),,Ethnic militia,Civilians (South Sudan),,Civilians,47,Jonglei,Twic,Turalei,Turalei,9.0855,28.4353,2,Radio Tamazuj,Subnational,"Suspected Murle tribesmen ambushed and killed two young men on their way to cattle camps in Patiop in Twic South county, Jonglei.",2,7,5,"(28.4353, 9.0855)"
1078,1400056,2017,1,Violence against civilians,Murle Ethnic Militia (South Sudan),,Ethnic militia,Civilians (South Sudan),,Civilians,47,Jonglei,Bor South,Maar,Jalle,6.7489,31.4154,1,Radio Tamazuj,Subnational,"Suspected Murle tribesmen killed three people and abducted six children in Jalle, Jonglei.",3,7,5,"(31.4154, 6.7489)"
1079,1400054,2017,2,Violence against civilians,Unidentified Armed Group (South Sudan),,Political militia,Civilians (South Sudan),,Civilians,37,Eastern Equatoria,Torit,Bur (Loronyo),Torit,4.4182,32.5767,2,Radio Emmanuel,Subnational,"Unknown gunmen attacked a car along the Torit-Juba road during the week of 3 July, leaving one woman killed and looting others passengers' belongings.",1,7,5,"(32.5767, 4.4182)"
1084,1400442,2017,2,Violence against civilians,Murle Ethnic Militia (South Sudan),,Ethnic militia,Civilians (South Sudan),,Civilians,47,Jonglei,Duk,Duk Padiet,Duk Fadiat,7.7508,31.4087,1,Radio Tamazuj,Subnational,"Suspected Murle tribesmen attacked Duk Panyang in Jonglei, leaving at least two killed and one wounded.",2,7,3,"(31.4087, 7.7508)"
1087,1400686,2017,2,Violence against civilians,Military Forces of South Sudan (2011-),,Government or mutinous force,Civilians (South Sudan),,Civilians,17,Upper Nile,Longochuk,Longuchok,Multhiang,9.01,33.5,1,UNHRCSS,Other,"Early July, upon SPLA's arrival in Multhiang to remove SPLA-IO/Agwelek forces from the area, SPLA soldiers raped and killed several women fleeing the area.",10,7,2,"(33.5, 9.01)"
1088,1400699,2017,2,Violence against civilians,Unidentified Armed Group (South Sudan),,Political militia,Civilians (South Sudan),,Civilians,37,Warrap,Gogrial West,Kuajok,Kuajok,8.285,27.9762,2,Radio Tamazuj,Subnational,"A woman was killed by unknown gunmen at War-Alel area in Kuajok town, Gogrial state. Another civilian was killed in Thurachol Kuac South County of Gogrial state around the same date.",2,7,2,"(27.9762, 8.285)"
1091,1401166,2017,1,Violence against civilians,Unidentified Armed Group (South Sudan),,Political militia,Civilians (International),Aid Workers (International),Civilians,37,Central Equatoria,Juba,Juba,Juba,4.8609,31.6178,1,Sudan Tribune; Radio Tamazuj,Subnational-regional,"Unknown gunmen abducted eight foreign and local workers of a private company contracted to an aid NGO while drilling water outside a UN camp in Juba. The workers were released two days later, on 2 July.",0,6,30,"(31.6178, 4.8609)"
1092,1401341,2017,1,Violence against civilians,Unidentified Armed Group (South Sudan),,Political militia,Civilians (South Sudan),,Civilians,37,Western Equatoria,Yambio,Yambio,Yambio,4.571000000000001,28.4104,2,UNSC,Other,"On 29 June, one person was reportedly killed and two persons were abducted when armed men attacked members of the Jur-Beri in Yambio county.",1,6,29,"(28.4104, 4.571000000000001)"
1096,1401508,2017,1,Violence against civilians,Unidentified Armed Group (South Sudan),,Political militia,Civilians (South Sudan),Aid Workers (South Sudan),Civilians,37,Unity,Pariang,Awet-adet,Riangnhom,9.9167,30.0167,2,OCHA,Other,"On 28 June, a group of youth forcefully entered an NGO compound, barricaded the entry and physically assaulted staff members in Ajoung-Thok, Pariang County, Unity.",0,6,28,"(30.0167, 9.9167)"
1098,1401510,2017,1,Violence against civilians,Unidentified Armed Group (South Sudan),,Political militia,Civilians (South Sudan),,Civilians,37,Central Equatoria,Juba,Juba,Jabal Biliniang,4.8121,31.7425,2,Sudan Tribune; Radio Tamazuj; Radio Bakhita,Subnational-regional,"Unknown gunmen opened fire on a passenger bus at Billinyang area near Juba, leaving nine killed and dozens of others wounded. The victims, mainly traders, were travelling from Mogiri to Juba. President Kiir deployed security forces along the Juba-Bor road after the incident.",9,6,28,"(31.7425, 4.8121)"
1101,1401864,2017,2,Violence against civilians,Gony Clan Militia (South Sudan),,Ethnic militia,Civilians (South Sudan),Rup Clan Dinka Ethnic Group (South Sudan),Civilians,47,Lakes,Rumbek Centre,Kuei,Rumbek,6.8187,29.6995,2,Gurtong,Subnational,"The Chief of the Akok section of the Rup community claimed end June that the Gony army youth have continued killing innocent people, looting properties and raiding cows in Rornhom in Lakes state despite the big deployment of security personnel in the area since clashes on 19 June.",10,6,26,"(29.6995, 6.8187)"
1104,1401990,2017,1,Violence against civilians,Police Forces of South Sudan (2011-) National Security Service,,Government or mutinous force,Civilians (South Sudan),,Civilians,17,Central Equatoria,Juba,Juba,Juba,4.8609,31.6178,1,Sudan Tribune; Radio Tamazuj,Subnational-regional,NSS guards assigned to the First Vice President Taban Deng Gai allegedly beat a woman in Juba as they accused her of bad driving near Gai's residence. The woman was said to be under the influence of alcohol. Deng Gai's office denied.,0,6,25,"(31.6178, 4.8609)"
1106,1402137,2017,1,Violence against civilians,Unidentified Armed Group (South Sudan),,Political militia,Civilians (South Sudan),,Civilians,37,Central Equatoria,Juba,Juba,Kwarijik,4.61,31.36,1,Radio Tamazuj,Subnational,"Unknown gunmen attacked Kwerijik, west of Juba, killing at least two people and wounding another four.",2,6,24,"(31.36, 4.61)"
1109,1402311,2017,1,Violence against civilians,Unidentified Armed Group (South Sudan),,Political militia,Civilians (Kenya),Christian Group (Kenya),Civilians,37,Central Equatoria,Juba,Juba,Munuki,4.8568,31.5795,1,Eye Radio,Subnational,Unknown gunmen killed a Kenyan national Bishop at a church in Munuki suburb in Juba with a machete.,1,6,23,"(31.5795, 4.8568)"
1115,1402592,2017,2,Violence against civilians,Military Forces of South Sudan (2011-) Presidential Security Unit,,Government or mutinous force,Civilians (South Sudan),Government of South Sudan (2011-),Civilians,17,Central Equatoria,Juba,Juba,Juba,4.8609,31.6178,1,Radio Tamazuj,Subnational,President Kiir's guards brutally beat up a Member of Parliament while returning to his residence after attending a function in Juba during the week of 19 June. The reasons are unclear.,0,6,21,"(31.6178, 4.8609)"
1117,1402594,2017,2,Violence against civilians,Unidentified Armed Group (South Sudan),,Political militia,Civilians (Sudan),,Civilians,37,Western Bahr el Ghazal,Wau,Udici,Wau,7.7177,28.0071,1,Radio Tamazuj,Subnational,A Sudanese trader was killed by unknown gunmen at Hai Al-Salam in Wau town during the week of 19 June.,1,6,21,"(28.0071, 7.7177)"
1118,1402595,2017,2,Violence against civilians,Unidentified Armed Group (South Sudan),,Political militia,Civilians (South Sudan),,Civilians,37,Western Equatoria,Mundri West,Mundri,Mundri,5.35,30.3167,2,Radio Tamazuj,Subnational,"Unknown gunmen stopped two commercial vehicles traveling from Juba to Mundri area during the week of 19 June, asking all passengers to get out of the two vehicles and taking the vehicles along with the drivers.",0,6,21,"(30.3167, 5.35)"
1127,1403003,2017,1,Violence against civilians,Unidentified Communal Militia (South Sudan),,Ethnic militia,Civilians (South Sudan),,Civilians,47,Lakes,Cueibet,Cueibet,Cueibet,7.0317,29.2472,1,Eye Radio; Gurtong,Subnational,Five people were killed in intra-communal revenge killing in Cueibet. A curfew was imposed on the town.,5,6,19,"(29.2472, 7.0317)"
1130,1403179,2017,1,Violence against civilians,Unidentified Armed Group (South Sudan),,Political militia,Civilians (South Sudan),Health Workers (South Sudan),Civilians,37,Western Equatoria,Yambio,Yambio,Yambio,4.571000000000001,28.4104,1,Sudan Tribune; Radio Tamazuj,Subnational-regional,Gunmen shot and killed a general practitioner in Yambio. He was the only doctor in Yambio referral hospital and the diretcor of the state hospital. His wife was also injured in the attack.,1,6,18,"(28.4104, 4.571000000000001)"
1134,1403667,2017,1,Violence against civilians,Murle Ethnic Militia (South Sudan),,Ethnic militia,Civilians (South Sudan),,Civilians,47,Jonglei,Pochalla,Pochalla,Pochalla,7.1783,34.0967,2,Radio Tamazuj,Subnational,"Suspected Murle tribesmen attacked Lockree village in Pochalla county, leaving at least three people killed and a child abducted.",3,6,15,"(34.0967, 7.1783)"
1135,1403668,2017,2,Violence against civilians,Police Forces of South Sudan (2011-) National Security Service,,Government or mutinous force,Civilians (South Sudan),Military Forces of South Sudan (2011-) Presidential Security Unit,Civilians,17,Central Equatoria,Juba,Juba,Juba,4.8609,31.6178,3,Sudan Tribune; Radio Tamazuj,Subnational-regional,"Members of the NSS arrested a presidential guard officer who is seen as one of recently sacked Gen. Malong's supporters. They allegedly accused him of being part of a plot to remove president Kiir. As of a week later, his whereabouts remained unknown to his relatives. A number of other officials, including the head of the military police and politicians in Aweil, also suspected of being part of the plot, were removed from their positions or denied travel to their homes. Malong denounced these moves as provocations.",0,6,15,"(31.6178, 4.8609)"
1140,1403847,2017,2,Violence against civilians,SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition,,Rebel force,Civilians (South Sudan),,Civilians,27,Central Equatoria,Yei,Yei,Yei,4.0899,30.6716,2,Radio Tamazuj,Subnational,"Five women were abducted by suspected members of the opposition while working on their farms in the Sopiri area of Yei county in the week of 12 June. They were released three months later, at the end of September.",0,6,14,"(30.6716, 4.0899)"
1154,1404206,2017,2,Violence against civilians,Military Forces of South Sudan (2011-),,Government or mutinous force,Civilians (South Sudan),,Civilians,17,Upper Nile,Longochuk,Longuchok,Belwang,9.1,33.34,2,UNHRCSS,Other,"Over three weeks in June, intense fighting between SPLA and SPLA-IO as SPLA attempted to advance towards Multhiang. Reports that the SPLA deliberately shot at civilians and looted property in nearby villages such as Belwang and Kangok as they faced resistance from the SPLA-IO. By end June, SPLA had captured most of Longechuk county and advanced towards Multhiang.",0,6,12,"(33.34, 9.1)"
1156,1404205,2017,2,Violence against civilians,Military Forces of South Sudan (2011-),,Government or mutinous force,Civilians (South Sudan),,Civilians,17,Upper Nile,Longochuk,Longuchok,Belwang,9.1,33.34,2,UNHRCSS,Other,"Over three weeks in June, intense fighting between SPLA and SPLA-IO as SPLA attempted to advance towards Multhiang. Reports that the SPLA deliberately shot at civilians and looted property in nearby villages such as Belwang and Kangok as they faced resistance from the SPLA-IO. By end June, SPLA had captured most of Longechuk county and advanced towards Multhiang.",0,6,12,"(33.34, 9.1)"
1160,1404434,2017,1,Violence against civilians,Unidentified Communal Militia (South Sudan),,Ethnic militia,Civilians (South Sudan),,Civilians,47,Warrap,Tonj South,Tonj,Tonj,7.2733,28.6839,2,Radio Tamazuj,Subnational,At least two people were killed and another injured in two separate attacks by cattle raiders in Jal Wau county in Tonj State.,2,6,11,"(28.6839, 7.2733)"
1163,1404439,2017,1,Violence against civilians,Unidentified Communal Militia (South Sudan),,Ethnic militia,Civilians (South Sudan),,Civilians,47,Warrap,Twic,Ajakkuac,Ajakuac,9.232000000000001,28.589000000000002,2,Radio Tamazuj,Subnational,"At least one person was killed, another injured and hundreds of cattle stolen in an armed cattle raid at Majok Noon village in Ajakuac county, Twic state. A joint force of police and locals later clashed with the assaillants while trying to recover the cattle.",1,6,11,"(28.589000000000002, 9.232000000000001)"
1170,1404627,2017,1,Violence against civilians,Unidentified Armed Group (South Sudan),,Political militia,Civilians (South Sudan),,Civilians,37,Central Equatoria,Juba,Juba,Kenyi,4.88,31.41,3,UNSC,Other,"On 10 June, three persons were killed and two others injured when armed men ambushed two commercial vehicles between Kenyi and Loka in Central Equatoria.",3,6,10,"(31.41, 4.88)"
1178,1405180,2017,1,Violence against civilians,Murle Ethnic Militia (South Sudan),,Ethnic militia,Civilians (South Sudan),Bor Clan Dinka Ethnic Group (South Sudan),Civilians,47,Jonglei,Bor South,Jalle,Makol Cuei,6.4327,31.5946,1,Sudan Tribune; Radio Tamazuj,Subnational-regional,"Suspected Murle tribesmen attacked a Dinka Bor home in Makolcuei Boma in Bor west of Jonglei, leaving a child killed, two others injured and one abducted. Cattle was also stolen in the attack. The attack came in violation of a cessation of hostilities signed between the two communities end May.",1,6,7,"(31.5946, 6.4327)"
1180,1405181,2017,1,Violence against civilians,Unidentified Armed Group (South Sudan),,Political militia,Civilians (South Sudan),Aid Workers (South Sudan),Civilians,37,Central Equatoria,Lainya,Otogo,Limbe,4.1589,30.8378,1,OCHA,Other,Armed men reportedly ambushed an NGO vehicle at Limbe on the Lainya-Yei road on 7 June. One staff member was shot and seriously injured during the attack.,0,6,7,"(30.8378, 4.1589)"
1182,1405615,2017,2,Violence against civilians,Military Forces of South Sudan (2011-),,Government or mutinous force,Civilians (South Sudan),,Civilians,17,Upper Nile,Longochuk,Longuchok,Belwang,9.1,33.34,2,UNHRCSS,Other,"Over three weeks in June, intense fighting between SPLA and SPLA-IO as SPLA attempted to advance towards Multhiang. Reports that the SPLA deliberately shot at civilians and looted property in nearby villages such as Belwang and Kangok as they faced resistance from the SPLA-IO. By end June, SPLA had captured most of Longechuk county and advanced towards Multhiang.",0,6,5,"(33.34, 9.1)"
1184,1405632,2017,1,Violence against civilians,Unidentified Armed Group (South Sudan),,Political militia,Civilians (South Sudan),,Civilians,37,Eastern Equatoria,Magwi,Pageri,Loa,3.79,31.95,2,Radio Tamazuj; Eye Radio,Subnational,"Unknown gunmen ambushed a vehicle at Loa area on the Juba-Nimule highway, leaving at least one killed and four others injured.",1,6,5,"(31.95, 3.79)"
1186,1405799,2017,1,Violence against civilians,Unidentified Armed Group (South Sudan),,Political militia,Civilians (South Sudan),,Civilians,37,Unity,Rubkona,Rubkoana,Bentiu,9.2525,29.7883,2,Radio Tamazuj,Subnational,At least two people were killed after unknown gunmen ambushed a vehicle along the Leer-Bentiu road.,2,6,4,"(29.7883, 9.2525)"
1187,1405801,2017,1,Violence against civilians,Military Forces of South Sudan (2011-),,Government or mutinous force,Civilians (South Sudan),,Civilians,17,Western Equatoria,Mundri West,Mundri,Mundri,5.35,30.3167,2,Radio Tamazuj,Subnational,A girl was reportedly gang-raped by three government soldiers at Payi village in the Mundri area.,0,6,4,"(30.3167, 5.35)"
1193,1406344,2017,2,Violence against civilians,Unidentified Armed Group (South Sudan),,Political militia,Civilians (South Sudan),,Civilians,37,Western Equatoria,Yambio,Bangasu,Bangusa,4.8018,28.7636,2,UNMISS,Other,Report that unknown armed group abducted two teenagers from Bangasu in Yambio county early June. Populations fled the area in fear.,0,6,1,"(28.7636, 4.8018)"
1197,1406511,2017,1,Violence against civilians,Unidentified Armed Group (South Sudan),,Political militia,Civilians (South Sudan),,Civilians,37,Western Equatoria,Yambio,Yambio,Khor Guruba,4.7118,28.4745,1,Radio Tamazuj,Subnational,"Gunmen attacked a home in Guruba county of Gbudue state in Western Equatoria, leaving nearly nine members of one family killed.",9,5,31,"(28.4745, 4.7118)"
1199,1406697,2017,1,Violence against civilians,Unidentified Armed Group (South Sudan),,Political militia,Civilians (South Sudan),,Civilians,37,Western Equatoria,Yambio,Yambio,Yambio,4.571000000000001,28.4104,2,Sudan Tribune; Eye Radio,Subnational-regional,"A revenge attack by unknown gunmen left at least 12 civilians killed in their home in Duma village, 20 km north of Yambio town.",12,5,30,"(28.4104, 4.571000000000001)"
1200,1406698,2017,1,Violence against civilians,Murle Ethnic Militia (South Sudan),,Ethnic militia,Civilians (South Sudan),,Civilians,47,Eastern Equatoria,Torit,Bur (Loronyo),Torit,4.4182,32.5767,2,Radio Tamazuj,Subnational,"At least six children were abducted by suspected Murle tribesmen in a road ambush in Torit West County, while travelling with their families to Kenya's Kakuma refugee camp.",0,5,30,"(32.5767, 4.4182)"
1202,1406890,2017,1,Violence against civilians,Unidentified Armed Group (South Sudan),,Political militia,Civilians (South Sudan),,Civilians,37,Western Bahr el Ghazal,Wau,Udici,Wau,7.7177,28.0071,1,Radio Tamazuj,Subnational,Unknown gunmen shot and killed and mother and her child at their house in Al-Motamdiya residential area of Wau town.,2,5,29,"(28.0071, 7.7177)"
